lat,lon,time,par/einstein m-2 day-1
27.25,120.75,2015-01-01 ,30.04
27.25,121.0,2015-01-01 ,29.95
27.25,121.25,2015-01-01 ,30.22
27.25,121.5,2015-01-01 ,30.05
27.25,121.75,2015-01-01 ,30.55
27.25,122.0,2015-01-01 ,30.49
27.25,122.25,2015-01-01 ,26.52
27.5,120.75,2015-01-01 ,29.06
27.5,121.0,2015-01-01 ,28.98
27.5,121.25,2015-01-01 ,29.22
27.5,121.5,2015-01-01 ,29.85
27.5,121.75,2015-01-01 ,30.25
27.5,122.0,2015-01-01 ,30.32
27.5,122.25,2015-01-01 ,27.75
27.75,120.75,2015-01-01 ,28.93
27.75,121.0,2015-01-01 ,28.97
27.75,121.25,2015-01-01 ,28.58
27.75,121.5,2015-01-01 ,29.42
27.75,121.75,2015-01-01 ,29.88
27.75,122.0,2015-01-01 ,29.88
27.75,122.25,2015-01-01 ,29.2
28.0,120.75,2015-01-01 ,28.62
28.0,121.0,2015-01-01 ,28.64
28.0,121.25,2015-01-01 ,28.53
28.0,121.5,2015-01-01 ,28.48
28.0,121.75,2015-01-01 ,28.95
28.0,122.0,2015-01-01 ,29.73
28.0,122.25,2015-01-01 ,30.13
28.25,121.25,2015-01-01 ,28.54
28.25,121.5,2015-01-01 ,28.2
28.25,121.75,2015-01-01 ,28.13
28.25,122.0,2015-01-01 ,29.24
28.25,122.25,2015-01-01 ,29.79
28.5,121.75,2015-01-01 ,28.11
28.5,122.0,2015-01-01 ,28.35
28.5,122.25,2015-01-01 ,29.07
27.25,120.75,2015-01-02 ,29.67
27.25,121.0,2015-01-02 ,29.76
27.25,121.25,2015-01-02 ,30.12
27.25,121.5,2015-01-02 ,30.06
27.25,121.75,2015-01-02 ,30.49
27.25,122.0,2015-01-02 ,30.64
27.25,122.25,2015-01-02 ,30.61
27.5,120.75,2015-01-02 ,28.67
27.5,121.0,2015-01-02 ,29.01
27.5,121.25,2015-01-02 ,29.38
27.5,121.5,2015-01-02 ,29.94
27.5,121.75,2015-01-02 ,30.22
27.5,122.0,2015-01-02 ,30.19
27.5,122.25,2015-01-02 ,30.32
27.75,120.75,2015-01-02 ,28.49
27.75,121.0,2015-01-02 ,28.9
27.75,121.25,2015-01-02 ,28.79
27.75,121.5,2015-01-02 ,29.28
27.75,121.75,2015-01-02 ,29.75
27.75,122.0,2015-01-02 ,29.97
27.75,122.25,2015-01-02 ,30.12
28.0,120.75,2015-01-02 ,28.45
28.0,121.0,2015-01-02 ,28.33
28.0,121.25,2015-01-02 ,28.59
28.0,121.5,2015-01-02 ,28.56
28.0,121.75,2015-01-02 ,29.1
28.0,122.0,2015-01-02 ,29.74
28.0,122.25,2015-01-02 ,30.21
28.25,121.25,2015-01-02 ,28.26
28.25,121.5,2015-01-02 ,28.06
28.25,121.75,2015-01-02 ,28.46
28.25,122.0,2015-01-02 ,29.14
28.25,122.25,2015-01-02 ,29.44
28.5,121.75,2015-01-02 ,28.46
28.5,122.0,2015-01-02 ,28.31
28.5,122.25,2015-01-02 ,28.82
27.25,120.75,2015-01-03 ,30.51
27.25,121.0,2015-01-03 ,30.31
27.25,121.25,2015-01-03 ,30.62
27.25,121.5,2015-01-03 ,30.53
27.25,121.75,2015-01-03 ,30.8
27.25,122.0,2015-01-03 ,30.58
27.25,122.25,2015-01-03 ,30.49
27.5,120.75,2015-01-03 ,29.51
27.5,121.0,2015-01-03 ,29.56
27.5,121.25,2015-01-03 ,30.17
27.5,121.5,2015-01-03 ,30.45
27.5,121.75,2015-01-03 ,30.18
27.5,122.0,2015-01-03 ,30.4
27.5,122.25,2015-01-03 ,29.12
27.75,120.75,2015-01-03 ,29.43
27.75,121.0,2015-01-03 ,29.6
27.75,121.25,2015-01-03 ,29.3
27.75,121.5,2015-01-03 ,29.75
27.75,121.75,2015-01-03 ,29.79
27.75,122.0,2015-01-03 ,29.56
27.75,122.25,2015-01-03 ,29.14
28.0,120.75,2015-01-03 ,28.6
28.0,121.0,2015-01-03 ,29.02
28.0,121.25,2015-01-03 ,29.13
28.0,121.5,2015-01-03 ,29.04
28.0,121.75,2015-01-03 ,29.37
28.0,122.0,2015-01-03 ,29.54
28.0,122.25,2015-01-03 ,29.79
28.25,121.25,2015-01-03 ,28.87
28.25,121.5,2015-01-03 ,28.76
28.25,121.75,2015-01-03 ,28.77
28.25,122.0,2015-01-03 ,29.1
28.25,122.25,2015-01-03 ,29.85
28.5,121.75,2015-01-03 ,28.54
28.5,122.0,2015-01-03 ,28.29
28.5,122.25,2015-01-03 ,28.95
27.25,120.75,2015-01-04 ,28.39
27.25,121.0,2015-01-04 ,28.59
27.25,121.25,2015-01-04 ,28.63
27.25,121.5,2015-01-04 ,28.59
27.25,121.75,2015-01-04 ,28.68
27.25,122.0,2015-01-04 ,28.91
27.25,122.25,2015-01-04 ,29.21
27.5,120.75,2015-01-04 ,27.27
27.5,121.0,2015-01-04 ,27.78
27.5,121.25,2015-01-04 ,28.33
27.5,121.5,2015-01-04 ,28.52
27.5,121.75,2015-01-04 ,28.67
27.5,122.0,2015-01-04 ,27.32
27.5,122.25,2015-01-04 ,26.6
27.75,121.0,2015-01-04 ,27.47
27.75,121.25,2015-01-04 ,27.62
27.75,121.5,2015-01-04 ,28.14
27.75,121.75,2015-01-04 ,28.04
27.75,122.0,2015-01-04 ,28.36
27.75,122.25,2015-01-04 ,28.5
28.0,120.75,2015-01-04 ,27.18
28.0,121.0,2015-01-04 ,27.19
28.0,121.25,2015-01-04 ,27.25
28.0,121.5,2015-01-04 ,27.72
28.0,121.75,2015-01-04 ,28.16
28.0,122.0,2015-01-04 ,28.54
28.0,122.25,2015-01-04 ,29.06
28.25,121.25,2015-01-04 ,27.36
28.25,121.5,2015-01-04 ,26.87
28.25,121.75,2015-01-04 ,27.37
28.25,122.0,2015-01-04 ,28.21
28.25,122.25,2015-01-04 ,28.76
28.5,121.75,2015-01-04 ,27.15
28.5,122.0,2015-01-04 ,27.59
28.5,122.25,2015-01-04 ,28.19
27.25,120.75,2015-01-05 ,11.74
27.25,121.0,2015-01-05 ,23.95
27.25,121.25,2015-01-05 ,23.65
27.25,121.5,2015-01-05 ,22.64
27.25,121.75,2015-01-05 ,21.56
27.25,122.0,2015-01-05 ,22.04
27.25,122.25,2015-01-05 ,27.26
27.5,120.75,2015-01-05 ,7.81
27.5,121.0,2015-01-05 ,14.11
27.5,121.25,2015-01-05 ,25.5
27.5,121.5,2015-01-05 ,17.85
27.5,121.75,2015-01-05 ,23.76
27.5,122.0,2015-01-05 ,23.71
27.5,122.25,2015-01-05 ,26.39
27.75,120.75,2015-01-05 ,7.83
27.75,121.0,2015-01-05 ,11.27
27.75,121.25,2015-01-05 ,25.44
27.75,121.5,2015-01-05 ,21.35
27.75,121.75,2015-01-05 ,20.47
27.75,122.0,2015-01-05 ,24.4
27.75,122.25,2015-01-05 ,22.68
28.0,120.75,2015-01-05 ,7.76
28.0,121.0,2015-01-05 ,8.34
28.0,121.25,2015-01-05 ,15.7
